file,position,overlap_area
Reslice of 8,45,1259.0
Reslice of 8,46,1692.0
Reslice of 8,47,1437.0
Reslice of 8,48,361.0
Reslice of 8,49,673.0
Reslice of 8,50,551.0
Reslice of 8,51,83.0
Reslice of 8,52,134.0
Reslice of 8,53,108.0
Reslice of 8,54,265.0
Reslice of 8,55,198.0
Reslice of 8,56,388.0
Reslice of 8,57,371.0
Reslice of 8,58,539.0
Reslice of 8,59,90.0
Reslice of 8,60,64.0
Reslice of 8,61,1482.0
Reslice of 8,62,11149.0
Reslice of 8,63,15516.0
Reslice of 8,64,4255.0
Reslice of 8,65,717.0
Reslice of 8,66,72.0
Reslice of 8,67,169.0
Reslice of 8,68,86.0
Reslice of 8,69,815.0
Reslice of 8,70,52.0
Reslice of 8,71,709.0
Reslice of 8,72,29.0
Reslice of 8,73,97.0
Reslice of 8,74,915.0
Reslice of 8,75,85.0
Reslice of 8,76,241.0
Reslice of 8,77,347.0
Reslice of 8,78,157.0
Reslice of 8,79,2771.0
Reslice of 8,80,125.0
Reslice of 8,81,204.0
Reslice of 8,82,36.0
Reslice of 8,83,27.0
Reslice of 8,84,421.0
Reslice of 8,85,393.0
Reslice of 8,86,76.0
Reslice of 8,87,1198.0
Reslice of 8,88,206.0
Reslice of 8,89,826.0
Reslice of 8,90,1594.0
Reslice of 8,91,86.0
Reslice of 8,92,281.0
Reslice of 8,93,1425.0
Reslice of 8,94,62.0
Reslice of 8,95,197.0
Reslice of 8,96,61.0
Reslice of 8,97,1378.0
Reslice of 8,98,65.0
Reslice of 8,99,235.0
Reslice of 9,0,1071.0
Reslice of 9,1,2252.0
Reslice of 9,2,3381.0
Reslice of 9,3,2404.0
Reslice of 9,4,991.0
Reslice of 9,5,1752.0
Reslice of 9,6,5408.0
Reslice of 9,7,4696.0
Reslice of 9,8,2639.0
Reslice of 9,9,2956.0
Reslice of 9,10,755.0
Reslice of 9,11,282.0
Reslice of 9,12,280.0
Reslice of 9,13,567.0
Reslice of 9,14,162.0
Reslice of 9,15,268.0
Reslice of 9,16,533.0
Reslice of 9,17,728.0
Reslice of 9,18,432.0
Reslice of 9,19,60.0
Reslice of 9,20,124.0
Reslice of 9,21,935.0
Reslice of 9,22,402.0
Reslice of 9,23,47.0
Reslice of 9,24,9.0
Reslice of 9,25,843.0
Reslice of 9,26,1104.0
Reslice of 9,27,158.0
Reslice of 9,28,574.0
Reslice of 9,29,127.0
Reslice of 9,30,142.0
Reslice of 9,31,47.0
Reslice of 9,32,196.0
Reslice of 9,33,182.0
Reslice of 9,34,194.0
Reslice of 9,35,2863.0
Reslice of 9,36,1073.0
Reslice of 9,37,1260.0
Reslice of 9,38,2852.0
Reslice of 9,39,2305.0
Reslice of 9,40,28.0
Reslice of 9,41,370.0
Reslice of 9,42,184.0
Reslice of 9,43,148.0
Reslice of 9,44,291.0
Reslice of 9,45,124.0
Reslice of 9,46,76.0
Reslice of 9,47,338.0
Reslice of 9,48,105.0
Reslice of 9,49,150.0
Reslice of 9,50,51.0
Reslice of 9,51,563.0
Reslice of 9,52,622.0
